,Force / N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time / s,9.99g try 1,9.99g try 2,9.99g try 3,20.18 try 1,20.18 try 2,20.18 try 3,30.26 try 1,30.26 try 2,30.26 try 3,40.31 try 1,40.31 try 2,40.31 try 3,50.48 try 1,50.48 try 2,50.48 try 3,60.51 try 1,60.51 try 2,60.51 try 3,70.59 try 1,70.59 try 2,70.59 try 3,80.81 try 1,80.81 try 2,80.81 try 3,91.21 try 1,91.21 try 2,91.21 try 3,100.95 try 1,100.95 try 2,100.95 try 3
0.38,0.3035261377,2.078707504,4.579046083,-0.1227586081,-0.05566928025,-2.460679388,1.400319486,-4.094445233,-4.159129452,8.019166158,-1.715784076,8.747821406,6.166641881,2.094499696,-2.005082666,3.490769037,0.4568767359,-0.2221411857,-0.07707684471,-0.1992244936,0.07569724547,0.6122579201,-1.700209825,1.93533977,0.6391674478,-0.7137676821,2.437400954,-0.649708935,-2.675827404,-1.261657256
0.39,0.1513084651,1.855142702,4.427095297,0.3132386047,0.01568367403,-3.087919528,1.354530737,-3.808901388,-3.807412871,8.038545828,-1.715221214,8.632678171,6.626149758,2.403416134,-2.161895585,3.962410407,0.6090711487,-0.250547033,-0.08857986146,-0.4209825994,0.2449093352,1.064097311,-2.221244458,1.137281005,0.0004892390528,-0.1367657099,1.859387553,-0.09164292373,-2.255631507,-0.7899202492
0.4,-0.007500769404,1.552294055,4.084300208,0.7419651692,0.08667781393,-3.640834509,1.287739875,-3.464678291,-3.397604608,7.962514057,-1.694486139,8.416755023,7.023181246,2.69014437,-2.298034127,4.402552262,0.7564236991,-0.2769638127,-0.09948367653,-0.6398645145,0.4124461593,1.509548665,-2.728944418,0.3323966253,-0.6381915836,0.4409667596,1.271440018,0.4668637875,-1.824491408,-0.3143516918
0.41,-0.1659832424,1.183104503,3.565438111,1.153469821,0.1556889207,-4.106115858,1.200982498,-3.06707898,-2.935957321,7.791973284,-1.653822712,8.102572699,7.353992832,2.952037346,-2.41219639,4.807695657,0.8977629956,-0.3011818047,-0.1097145307,-0.8543748183,0.5771617073,1.94593783,-3.220261858,-0.4744826978,-1.273462745,1.016343924,0.6766995713,1.023125406,-1.384498976,0.1627416454
0.42,-0.3172348653,0.7633522245,2.89287624,1.538201039,0.2211381439,-4.472564413,1.095603785,-2.6222288,-2.429514602,7.528947698,-1.593709163,7.693799037,7.615465371,3.18667728,-2.50329063,5.174619871,1.03196545,-0.3230087446,-0.1192032169,-1.063047957,0.7379292672,2.370645054,-3.692247279,-1.27851432,-1.901930188,1.58629256,0.07834372718,1.574466936,-0.9377890288,0.6390455954
0.43,-0.4546665527,0.3109763097,2.095607554,1.887228743,0.2815281224,-4.731359883,0.9732376434,-2.136981031,-1.886003514,7.176559214,-1.514852469,7.195206157,7.805133501,3.391897991,-2.570445706,5.500408009,1.157964207,-0.3422713507,-0.1278855486,-1.264458258,0.8936491324,2.781120717,-4.142067237,-2.074872688,-2.520236204,2.147768442,-0.5204306833,2.118237042,-0.4865289805,1.11224982
0.44,-0.5722912669,-0.1546899023,1.208000908,2.192451578,0.3354772418,-4.876273152,0.8357813697,-1.618811316,-1.313716687,6.738990416,-1.418180041,6.612614751,7.921208886,3.565804892,-2.61301941,5.782470189,1.274757631,-0.3588166991,-0.1357027939,-1.457229667,1.043256125,3.174900633,-4.567021354,-2.858778301,-3.125077376,2.697772596,-1.116424593,2.651820797,-0.03290831995,1.580059018
0.45,-0.664984836,-0.6137450808,0.2683194639,2.44678495,0.3817512428,-4.903816206,0.6853662351,-1.075702483,-0.7213858001,6.221434913,-1.304828815,5.952826125,7.962597079,3.706792485,-2.630604604,6.018564137,1.381417262,-0.3725134379,-0.1426020728,-1.640045153,1.18572688,3.549620844,-4.964558526,-3.625526395,-3.713222222,3.233367325,-1.706453791,3.172652261,0.42087201,2.040204055
0.46,-0.7287091819,-1.046570433,-0.6829287608,2.644325474,0.4192914592,-4.813326094,0.5243244392,-0.5160215707,-0.118048354,5.630035697,-1.176131881,5.223542809,7.928907842,3.81355918,-2.623033121,6.206813002,1.4770952,-0.38325283,-0.1485367148,-1.811655705,1.320086848,3.903031814,-5.33229224,-4.370515183,-4.281528466,3.751691891,-2.287365931,3.678226817,0.8726102917,2.490452972
0.47,-0.7606882341,-1.43466816,-1.604737126,2.780487993,0.4472390381,-4.606980881,0.3551529485,0.05160907783,0.4870902173,4.971812228,-1.033602806,4.433278627,7.82045882,3.885119313,-2.590377367,6.345720284,1.561030845,-0.3909496166,-0.1534665748,-1.970888864,1.44541696,4.233011931,-5.6680149,-5.089273466,-4.826959824,4.249977805,-2.856057381,4.166113217,1.320114716,2.928621813
